axis_id,threshold_method,ert_threshold,silhouette,balance,coherence,n_I,n_II,n_III,n_IV,n_total,n_empty_quads,has_all_quads,composite
gini_x_negmean__product,median,-93.33941499999999,0.44134096113090715,0.9147121828528005,1,22,20,8,7,57,0,TRUE,0.7831473821090176
negmean_x_abscma__product,median,-83.97415,0.44120655162206524,0.9147121828528005,1,22,20,8,7,57,0,TRUE,0.7831003387809229
negmean_x_abscma__product,gmm,-82.665057300166,0.44120655162206524,0.9147121828528005,1,22,20,8,7,57,0,TRUE,0.7831003387809229
entropy__species_znorm,otsu,-0.07169996206554712,0.4772434939786091,0.864141019964567,1,14,28,4,11,57,0,TRUE,0.7830704778836549
cma__site_znorm,median,0.15457012522322267,0.44067406213688426,0.915315040318238,1,21,21,7,8,57,0,TRUE,0.783064681827469
abs_cma__site_znorm,median,0.15457012522322267,0.44067406213688426,0.915315040318238,1,21,21,7,8,57,0,TRUE,0.783064681827469
neg_mean__lutz_species,gmm,18.77894894407808,0.4555860547791642,0.8942425547865971,1,21,21,11,4,57,0,TRUE,0.7830157578693567
mean__lutz_species,gmm,-18.851523428707814,0.4555860547791642,0.8942425547865971,1,21,21,4,11,57,0,TRUE,0.7830157578693567
neg_radgrad__species_site_znorm,median,-0.1478623498507942,0.4397481452405084,0.915315040318238,1,21,21,7,8,57,0,TRUE,0.7827406109137375
PC2__pca_species_norm,mean,-4.226638532344894e-16,0.4459512044923482,0.9064726381299401,1,18,24,9,6,57,0,TRUE,0.7827010811048069
sd__lutz_species_site,median,-11.085000000000008,0.44210839238428673,0.9113120463360942,1,20,22,6,9,57,0,TRUE,0.7825659489185238
cma__lutz_species,median,0.011483333333333345,0.43924943912558884,0.9147121828528005,1,22,20,8,7,57,0,TRUE,0.7824153494071562
abs_cma__lutz_species,median,0.011483333333333345,0.43924943912558884,0.9147121828528005,1,22,20,8,7,57,0,TRUE,0.7824153494071562
PC2__pca_raw,median,0.04248082417181004,0.4379462022003172,0.9147121828528005,1,22,20,8,7,57,0,TRUE,0.7819592164833111
abs_radgrad__species_znorm,otsu,0.2487695602849608,0.4520075385185179,0.8933151303547862,1,27,15,7,8,57,0,TRUE,0.7815314210701777
